"","retention","school_MS","sex_M","age","address_U","famsize_LE3","Mjob_health","Mjob_other","Mjob_services","Mjob_teacher","Pstatus_T","Medu","Fedu","internet_yes","schoolsup_yes","famsup_yes","paid_yes","activities_yes","romantic_yes","traveltime","studytime","failures","famrel","freetime","goout","Dalc","Walc","health","absences","G1","G2","G3"
"1",1,0,0,18,1,0,0,0,0,0,0,4,4,0,1,0,0,0,0,2,2,0,4,3,4,1,1,3,4,0,11,11
"2",1,0,0,17,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,2,0,5,3,3,1,1,3,2,9,11,11
"3",1,0,0,15,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,1,2,0,4,3,2,2,3,3,6,12,13,12
"4",0,0,0,15,1,0,1,0,0,0,1,4,2,1,0,1,0,1,1,1,3,0,3,2,2,1,1,5,0,14,14,14
"5",1,0,0,16,1,0,0,1,0,0,1,3,3,0,0,1,0,0,0,1,2,0,4,3,2,1,2,5,0,11,13,13
"6",1,0,1,16,1,1,0,0,1,0,1,4,3,1,0,1,0,1,0,1,2,0,5,4,2,1,2,5,6,12,12,13
"7",1,0,1,16,1,1,0,1,0,0,1,2,2,1,0,0,0,0,0,1,2,0,4,4,4,1,1,3,0,13,12,13
"8",1,0,0,17,1,0,0,1,0,0,0,4,4,0,1,1,0,0,0,2,2,0,4,1,4,1,1,1,2,10,13,13
"9",1,0,1,15,1,1,0,0,1,0,0,3,2,1,0,1,0,0,0,1,2,0,4,2,2,1,1,1,0,15,16,17
"10",1,0,1,15,1,0,0,1,0,0,1,3,4,1,0,1,0,1,0,1,2,0,5,5,1,1,1,5,0,12,12,13
"11",1,0,0,15,1,0,0,0,0,1,1,4,4,1,0,1,0,0,0,1,2,0,3,3,3,1,2,2,2,14,14,14
"12",1,0,0,15,1,0,0,0,1,0,1,2,1,1,0,1,0,1,0,3,3,0,5,2,2,1,1,4,0,10,12,13
"13",1,0,1,15,1,1,1,0,0,0,1,4,4,1,0,1,0,1,0,1,1,0,4,3,3,1,3,5,0,12,13,12
"14",1,0,1,15,1,0,0,0,0,1,1,4,3,1,0,1,0,0,0,2,2,0,5,4,3,1,2,3,0,12,12,13
"15",1,0,1,15,1,0,0,1,0,0,0,2,2,1,0,1,0,0,1,1,3,0,4,5,2,1,1,3,0,14,14,15
"16",1,0,0,16,1,0,1,0,0,0,1,4,4,1,0,1,0,0,0,1,1,0,4,4,4,1,2,2,6,17,17,17
"17",1,0,0,16,1,0,0,0,1,0,1,4,4,1,0,1,0,1,0,1,3,0,3,2,3,1,2,2,10,13,13,14
"18",1,0,0,16,1,0,0,1,0,0,1,3,3,0,1,1,0,1,0,3,2,0,5,3,2,1,1,4,2,13,14,14
"19",1,0,1,17,1,0,0,0,1,0,1,3,2,1,0,1,1,1,0,1,1,3,5,5,5,2,4,5,2,8,8,7
"20",1,0,1,16,1,1,1,0,0,0,1,4,3,1,0,0,0,1,0,1,1,0,3,1,3,1,3,5,6,12,12,12
"21",1,0,1,15,1,0,0,0,0,1,1,4,3,1,0,0,0,0,0,1,2,0,4,4,1,1,1,1,0,12,13,14
"22",1,0,1,15,1,0,1,0,0,0,1,4,4,1,0,1,1,0,0,1,1,0,5,4,2,1,1,5,0,11,12,12
"23",1,0,1,16,1,1,0,0,0,1,1,4,2,1,0,0,0,1,0,1,2,0,4,5,1,1,3,5,0,12,13,14
"24",1,0,1,16,1,1,0,1,0,0,1,2,2,1,0,1,0,1,0,2,2,0,5,4,4,2,4,5,2,10,10,10
"25",1,0,0,15,0,0,0,0,1,0,1,2,4,1,1,1,0,1,0,1,3,0,4,3,2,1,1,5,2,10,11,10
"26",1,0,0,16,1,0,0,0,1,0,1,2,2,1,0,1,0,0,0,1,1,0,1,2,2,1,3,5,6,10,11,12
"27",1,0,1,15,1,0,0,1,0,0,1,2,2,1,0,1,0,0,0,1,1,0,4,2,2,1,2,5,8,11,12,12
"28",0,0,1,15,1,0,1,0,0,0,1,4,2,1,0,0,0,0,0,1,1,0,2,2,4,2,4,1,0,11,11,11
"29",0,0,1,16,1,1,0,0,1,0,0,3,4,1,1,1,1,1,0,1,2,0,5,3,3,1,1,5,2,12,12,13
"30",1,0,1,16,1,0,0,0,0,1,1,4,4,1,0,1,1,1,1,1,2,0,4,4,5,5,5,5,4,12,11,12
"31",1,0,1,15,1,0,1,0,0,0,1,4,4,1,0,1,1,0,0,1,2,0,5,4,2,3,4,5,0,10,11,11
"32",1,0,1,15,1,0,0,0,1,0,1,4,4,1,0,1,0,1,0,2,2,0,4,3,1,1,1,5,2,15,15,15
"33",1,0,1,15,0,0,0,0,0,1,1,4,3,1,0,1,0,1,1,1,2,0,4,5,2,1,1,5,0,13,14,15
"34",1,0,1,15,1,1,0,1,0,0,1,3,3,1,0,0,0,1,0,1,2,0,5,3,2,1,1,2,0,13,12,12
"35",1,0,1,16,1,0,0,1,0,0,1,3,2,1,0,1,0,0,0,1,1,0,5,4,3,1,1,5,4,12,12,12
"36",1,0,0,15,1,0,0,1,0,0,1,2,3,0,0,1,0,1,0,2,1,0,3,5,1,1,1,5,4,11,11,11
"37",1,0,1,15,1,1,0,0,0,1,1,4,3,1,0,1,0,1,0,1,3,0,5,4,3,1,1,4,0,14,14,14
"38",1,0,1,16,0,0,0,1,0,0,0,4,4,1,0,1,0,1,1,2,3,0,2,4,3,1,1,5,4,13,13,13
"39",0,0,0,15,0,0,0,0,1,0,1,3,4,1,1,1,0,1,0,1,3,0,4,3,2,1,1,5,2,11,12,12
"40",1,0,0,15,0,0,0,0,0,0,1,2,2,0,1,1,0,1,0,1,1,0,4,3,1,1,1,2,8,14,13,12
"41",0,0,0,16,1,1,0,1,0,0,1,2,2,1,0,1,0,1,1,2,2,0,3,3,3,1,2,3,16,11,11,10
"42",0,0,1,15,1,1,0,0,0,1,1,4,4,1,0,1,0,0,1,1,1,0,5,4,3,2,4,5,8,10,11,11
"43",1,0,1,15,1,0,0,0,1,0,1,4,4,1,0,1,0,1,0,1,2,0,4,3,3,1,1,5,0,14,15,15
"44",1,0,1,15,1,0,0,0,1,0,1,2,2,1,1,1,0,0,0,1,1,0,5,4,1,1,1,1,0,9,10,10
"45",1,0,0,16,1,1,0,1,0,0,1,2,2,1,1,0,0,1,0,2,2,1,4,3,3,2,2,5,14,10,11,11
"46",0,0,0,15,1,1,0,1,0,0,0,4,3,1,1,1,1,1,1,1,2,0,5,2,2,1,1,5,4,10,11,11
"47",1,0,0,16,1,1,0,1,0,0,0,3,3,1,0,1,0,0,0,1,2,0,2,3,5,1,4,3,6,13,12,13
"48",1,0,1,16,1,0,1,0,0,0,1,4,3,1,0,0,0,1,0,1,4,0,4,2,2,1,1,2,2,17,17,17
"49",0,0,1,15,1,0,0,0,0,1,1,4,2,0,0,1,0,0,0,1,2,0,4,3,3,2,2,5,4,11,12,13
"50",1,0,0,15,1,0,0,0,1,0,1,4,4,1,1,1,0,1,0,1,2,0,4,4,4,1,1,3,2,13,12,12
"51",1,0,0,16,1,1,0,0,1,0,1,2,2,1,0,1,0,0,0,3,2,0,4,3,3,2,3,4,0,14,13,13
"52",1,0,0,15,1,1,1,0,0,0,1,4,2,1,0,1,0,0,0,1,2,0,4,3,3,1,1,5,0,16,14,16
"53",1,0,1,15,1,1,1,0,0,0,0,4,2,0,0,0,0,0,0,2,1,0,5,5,5,3,4,5,4,10,9,9
"54",0,0,0,15,1,0,0,0,1,0,1,4,4,1,1,1,0,0,0,1,1,0,3,3,4,2,3,5,0,13,12,12
"55",1,0,0,15,1,1,0,1,0,0,0,3,3,1,0,0,0,0,0,1,1,0,5,3,4,4,4,1,0,13,12,13
"56",1,0,0,16,1,0,0,1,0,0,0,2,1,1,0,0,0,1,1,1,2,0,5,3,4,1,1,2,2,12,13,12
"57",1,0,0,15,1,0,0,0,1,0,0,4,3,1,0,1,0,1,0,1,2,0,4,3,2,1,1,1,0,15,14,15
"58",0,0,1,15,1,0,0,0,0,1,1,4,4,0,0,1,0,1,0,1,2,0,3,2,2,1,1,5,8,15,15,16
"59",1,0,1,15,1,1,0,1,0,0,1,1,2,1,1,1,0,1,0,1,2,0,4,3,2,1,1,5,0,14,13,14
"60",0,0,0,16,1,0,0,0,1,0,1,4,2,1,0,1,1,0,0,1,2,0,4,2,3,1,1,5,2,16,15,16
"61",1,0,0,16,0,0,1,0,0,0,1,4,4,0,0,1,0,1,0,1,2,0,2,4,4,2,3,4,0,17,16,16
"62",1,0,0,16,1,0,0,0,1,0,1,1,1,1,1,1,0,1,1,4,1,0,5,5,5,5,5,5,0,10,10,16
"63",1,0,0,16,1,1,0,1,0,0,1,1,2,1,1,0,0,1,0,1,2,0,4,4,3,1,1,1,0,13,13,10
"64",0,0,0,16,1,0,0,0,0,1,1,4,3,1,1,1,0,1,0,1,3,0,3,4,4,2,4,4,0,14,13,13
"65",1,0,0,15,1,1,0,0,1,0,1,4,3,1,1,0,0,1,1,1,2,0,4,4,4,2,4,2,0,13,12,12
